Date,Time,Courbes.CMdebit,Courbes.CCDebitD,Courbes.CMPression,Courbes.CMVolConsomme
2022/10/17,17:33:11,0.4045,0.4000,12.18,0.658
2022/10/17,17:33:13,0.3835,0.4000,12.18,0.671
2022/10/17,17:33:15,0.4125,0.4000,12.18,0.685
2022/10/17,17:33:17,0.3883,0.4000,12.18,0.698
2022/10/17,17:33:19,0.4169,0.4000,12.18,0.713
2022/10/17,17:33:21,0.3797,0.4000,12.17,0.724
2022/10/17,17:33:23,0.4158,0.5000,12.18,0.738
2022/10/17,17:33:25,0.5095,0.5000,12.18,0.755
2022/10/17,17:33:27,0.4921,0.5000,12.18,0.773
2022/10/17,17:33:29,0.4922,0.5000,12.18,0.788
2022/10/17,17:33:31,0.5210,0.5000,12.18,0.804
2022/10/17,17:33:33,0.5034,0.5000,12.18,0.822
2022/10/17,17:33:35,0.5203,0.5000,12.18,0.838
2022/10/17,17:33:37,0.4806,0.5000,12.18,0.854
2022/10/17,17:33:39,0.4782,0.5000,12.18,0.872
2022/10/17,17:33:41,1.0071,1.0000,12.18,0.900
2022/10/17,17:33:43,1.0079,1.0000,12.19,0.932
2022/10/17,17:33:45,0.9989,1.0000,12.18,0.964
2022/10/17,17:33:47,1.0080,1.0000,12.18,0.996
2022/10/17,17:33:49,0.9971,1.0000,12.18,1.032
2022/10/17,17:33:51,1.0026,1.0000,12.18,1.064
2022/10/17,17:33:53,0.9950,1.0000,12.18,1.100
2022/10/17,17:33:55,1.0105,1.0000,12.18,1.132
2022/10/17,17:33:57,1.0234,1.0000,12.18,1.164
2022/10/17,17:33:59,1.0051,1.0000,12.19,1.200
2022/10/17,17:34:01,1.0099,1.0000,12.18,1.233
2022/10/17,17:34:03,1.0074,1.0000,12.20,1.265
2022/10/17,17:34:05,0.9987,1.0000,12.20,1.297
2022/10/17,17:34:07,1.0123,1.0000,12.20,1.330
2022/10/17,17:34:09,1.0215,1.0000,12.21,1.363
2022/10/17,17:34:11,1.0181,1.0000,12.20,1.399
2022/10/17,17:34:13,0.9670,1.0000,12.19,1.431
2022/10/17,17:34:15,0.9637,1.0000,12.21,1.467
2022/10/17,17:34:17,0.9716,1.0000,12.21,1.500
2022/10/17,17:34:19,1.0170,1.0000,12.35,1.532
2022/10/17,17:34:21,0.9814,1.0000,12.23,1.565
2022/10/17,17:34:23,0.9861,1.0000,12.21,1.597
2022/10/17,17:34:25,1.0161,1.0000,12.24,1.630
2022/10/17,17:34:27,0.9627,1.0000,12.27,1.666
2022/10/17,17:34:29,1.0007,1.0000,12.24,1.699
2022/10/17,17:34:31,1.0082,1.0000,12.24,1.728
2022/10/17,17:34:33,1.0205,1.0000,12.48,1.765
2022/10/17,17:34:35,0.9650,1.0000,12.54,1.798
2022/10/17,17:34:37,1.0170,1.0000,12.50,1.830
2022/10/17,17:34:39,1.0117,1.0000,12.39,1.867
2022/10/17,17:34:41,1.5100,1.5000,12.66,1.908
2022/10/17,17:34:43,1.5166,1.5000,12.55,1.958
2022/10/17,17:34:45,1.5196,1.5000,12.69,2.007
2022/10/17,17:34:47,1.4762,1.5000,12.68,2.056
2022/10/17,17:34:49,1.5249,1.5000,12.71,2.105
2022/10/17,17:34:51,1.4973,1.5000,12.73,2.160
2022/10/17,17:34:53,1.4932,1.5000,13.13,2.209
2022/10/17,17:34:55,1.4819,1.5000,12.98,2.259
2022/10/17,17:34:57,1.4874,1.5000,12.92,2.308
2022/10/17,17:34:59,1.5020,1.5000,13.25,2.351
2022/10/17,17:35:01,1.9910,2.0000,13.26,2.411
2022/10/17,17:35:03,2.0267,2.0000,13.25,2.473
2022/10/17,17:35:05,1.9703,2.0000,13.31,2.546
2022/10/17,17:35:07,1.9937,2.0000,13.30,2.611
2022/10/17,17:35:09,2.0071,2.0000,13.32,2.677
2022/10/17,17:35:11,1.9894,2.0000,13.34,2.742
2022/10/17,17:35:13,2.0079,2.0000,13.36,2.807
2022/10/17,17:35:15,2.0102,2.0000,13.36,2.880
2022/10/17,17:35:17,1.9950,2.0000,13.42,2.941
2022/10/17,17:35:19,2.0066,2.0000,13.42,3.007
2022/10/17,17:35:21,3.0052,3.0000,13.47,3.093
2022/10/17,17:35:23,3.0157,3.0000,13.62,3.191
2022/10/17,17:35:25,2.9838,3.0000,13.73,3.289
2022/10/17,17:35:27,3.0167,3.0000,14.07,3.388
2022/10/17,17:35:29,2.9787,3.0000,14.26,3.486
2022/10/17,17:35:31,3.0070,3.0000,14.38,3.586
2022/10/17,17:35:33,2.9813,3.0000,14.47,3.684
2022/10/17,17:35:35,2.9816,3.0000,14.49,3.783
2022/10/17,17:35:37,3.0072,3.0000,14.49,3.893
2022/10/17,17:35:39,3.0060,3.0000,14.51,3.991
2022/10/17,17:35:41,3.0288,3.0000,14.51,4.086
2022/10/17,17:35:43,2.9896,3.0000,14.54,4.185
2022/10/17,17:35:45,3.0297,3.0000,14.68,4.295
2022/10/17,17:35:47,3.0256,3.0000,14.84,4.394
2022/10/17,17:35:49,2.9996,3.0000,14.97,4.481
2022/10/17,17:35:51,3.0049,3.0000,15.47,4.593
2022/10/17,17:35:53,3.0067,3.0000,12.21,4.692
2022/10/17,17:35:55,2.9835,3.0000,12.18,4.790
2022/10/17,17:35:57,3.0048,3.0000,12.18,4.887
2022/10/17,17:35:59,2.9945,3.0000,12.18,4.996
2022/10/17,17:36:01,2.9959,3.0000,12.18,5.093
2022/10/17,17:36:03,2.9919,3.0000,12.18,5.190
2022/10/17,17:36:05,2.9646,3.0000,12.18,5.288
