Temperature,Resistance
1,31030
2,29500
3,28054
4,26687
5,25395
6,24172
7,23016
8,21921
9,20884
10,19903
11,18973
12,18092
13,17257
14,16465
15,15714
16,15001
17,14324
18,13682
19,13073
20,12493
21,11943
22,11420
23,10923
24,10450
25,10000
26,9572.0
27,9164.7
28,8777.0
29,8407.8
30,8056.1
31,7721.0
32,7401.7
33,7097.3
34,6807.1
35,6530.3
36,6266.3
37,6014.3
38,5773.8
39,5544.3
40,5325.0
41,5115.7
42,4915.6
43,4724.5
44,4541.7
45,4367.1
46,4200.0
47,4040.2
48,3887.4
49,3741.1
50,3601.1
51,3467.1
52,3338.7
53,3215.8
54,3098.0
55,2985.2
56,2877.0
57,2773.3
58,2673.9
59,2578.6
60,2487.1
61,2399.4
62,2315.2
63,2234.4
64,2156.8
65,2082.3
66,2010.8
67,1942.1
68,1876.0
69,1812.6
70,1751.6
71,1693.0
72,1636.6
73,1582.4
74,1530.2
75,1480.1
76,1431.8
77,1385.3
78,1340.6
79,1297.5
80,1256.1
81,1216.1
82,1177.7
83,1140.6
84,1104.9
85,1070.4
86,1037.3
87,1005.3
88,974.4
89,944.7
90,916.0
91,888.3
92,861.5
93,835.7
94,810.8
95,786.8
96,763.6
97,741.2
98,719.5
99,698.6
100,678.4
101,658.9
102,640.0
103,621.8
104,604.1
105,587.1
106,570.6
107,554.6
108,539.2
109,524.3
110,509.8
111,495.8
112,482.3
113,469.2
114,456.5
115,444.2
116,432.3
117,420.8
118,409.6
119,398.8
120,388.3
121,378.2
122,368.3
123,358.8
124,349.5
125,340.6
